POS,Nombre,Team,POS,GP,ATT,YDS,LNG,BIG,TD,FUM,LST,FD
145,Jared Goff ,DET,QB,17,29,73,14,0,0,3,1,5
146,Matt Ryan ,IND,QB,12,27,70,39,1,1,4,2,9
146,Tyrod Taylor ,NYG,QB,3,5,70,32,1,0,1,0,5
146,Ronald Jones ,KC,RB,6,17,70,13,0,1,0,0,4
146,Steven Sims ,PIT,WR,12,13,70,22,1,0,0,0,5
146,Tua Tagovailoa ,MIA,QB,13,24,70,18,0,0,2,0,4
146,Zamir White ,LV,RB,14,17,70,22,1,0,0,0,4
152,Trey Lance ,SF,QB,2,16,67,13,0,0,1,0,7
153,Brandon Bolden ,LV,RB,16,17,66,12,0,0,0,0,3
154,Laviska Shenault Jr.,CAR,WR,13,9,65,41,1,1,0,0,1
155,Darrynton Evans ,CHI,RB,6,14,64,21,1,0,0,0,3
155,Desmond Ridder ,ATL,QB,4,16,64,18,0,0,2,1,4
155,Salvon Ahmed ,MIA,RB,12,12,64,11,0,1,0,0,4
158,Trace McSorley ,ARI,QB,6,15,61,14,0,0,1,1,3
159,Keaontay Ingram ,ARI,RB,12,27,60,13,0,1,0,0,4
160,Chase Claypool ,PIT/CHI,WR,15,9,59,15,0,0,0,0,3
161,Jordan Wilkins ,IND,RB,4,13,58,9,0,0,0,0,2
161,Parris Campbell ,IND,WR,17,5,58,28,2,0,0,0,2
163,Rashid Shaheed ,NO,WR,12,4,57,44,1,1,0,0,2
163,Anthony Schwartz ,CLE,WR,11,4,57,31,1,1,0,0,2
165,Corey Clement ,ARI,RB,9,15,55,12,0,1,0,0,6
165,Isaiah McKenzie ,BUF,WR,15,9,55,18,0,1,0,0,3
165,C.J. Moore ,DET,S,11,2,55,42,1,0,0,0,2
168,Andy Dalton ,NO,QB,14,30,54,14,0,0,3,0,6
168,Chris Streveler ,NYJ,QB,2,9,54,14,0,0,1,0,1
168,Equanimeous St. Brown,CHI,WR,16,6,54,41,1,0,0,0,2
168,Trestan Ebner ,CHI,RB,17,24,54,11,0,0,0,0,2
172,DJ Moore ,CAR,WR,17,10,53,11,0,0,0,0,3
172,Ke'Shawn Vaughn ,TB,RB,15,17,53,12,0,0,0,0,3
174,Cooper Kupp ,LAR,WR,9,9,52,20,1,1,0,0,4
174,Kevin Harris ,NE,RB,5,18,52,14,0,1,0,0,3
176,Phillip Lindsay ,IND,RB,3,15,49,15,0,0,0,0,1
177,CeeDee Lamb ,DAL,WR,17,10,47,14,0,0,0,0,3
177,Treylon Burks ,TEN,WR,11,4,47,20,1,0,0,0,3
179,Julio Jones ,TB,WR,10,5,45,15,0,0,0,0,4
180,Joshua Dobbs ,TEN,QB,2,8,44,11,0,0,1,0,4
180,Greg Dortch ,ARI,WR,16,7,44,20,1,0,0,0,3
182,Spencer Brown ,CAR,RB,2,9,43,7,0,0,0,0,1
183,Snoop Conner ,JAX,RB,8,12,42,8,0,1,0,0,2
184,Davis Webb ,NYG,QB,1,6,41,14,0,1,0,0,2
184,Isaiah Spiller ,LAC,RB,6,18,41,11,0,0,0,0,2
186,Mack Hollins ,LV,WR,17,4,40,17,0,0,0,0,2
186,Jerry Jeudy ,DEN,WR,15,4,40,14,0,0,0,0,4
186,Jameson Williams ,DET,WR,6,1,40,40,1,0,0,0,1
189,Kendrick Bourne ,NE,WR,16,6,39,29,1,0,0,0,2
189,PJ Walker ,CAR,QB,6,6,39,20,1,0,0,0,3
189,Gunner Olszewski ,PIT,WR,16,8,39,18,0,0,0,0,3
192,Dwayne Washington ,NO,RB,12,11,38,8,0,0,0,0,2
192,Mitchell Trubisky ,PIT,QB,7,19,38,9,0,2,0,0,7
194,Dante Pettis ,CHI,WR,17,2,37,29,1,0,0,0,2
195,Colt McCoy ,ARI,QB,4,14,36,9,0,0,2,0,5
195,Kalif Raymond ,DET,WR,17,7,36,12,0,0,0,0,4
197,Sam Howell ,WSH,QB,1,5,35,10,0,1,0,0,4
198,Tutu Atwell ,LAR,WR,13,9,34,11,0,1,0,0,2
199,Jimmy Garoppolo ,SF,QB,11,23,33,6,0,2,2,1,11
199,Nyheim Hines ,IND/BUF,RB,16,24,33,9,0,1,0,0,2
201,Tyreek Hill ,MIA,WR,17,7,32,10,0,1,0,0,3
201,John Wolford ,LAR,QB,3,8,32,14,0,0,1,0,2
203,Mecole Hardman ,KC,WR,8,4,31,25,1,2,0,0,3
203,Patrick Taylor Jr.,GB,RB,14,10,31,6,0,0,0,0,2
205,Trayveon Williams ,CIN,RB,8,6,30,16,0,0,0,0,1
205,Michael Pittman Jr.,IND,WR,16,3,30,19,0,0,0,0,2
205,Anthony McFarland Jr.,PIT,RB,1,6,30,14,0,0,0,0,3
205,Montrell Washington ,DEN,WR,15,5,30,19,0,0,0,0,0
209,Terry McLaurin ,WSH,WR,17,7,29,12,0,0,1,0,2
210,Giovani Bernard ,TB,RB,8,8,28,8,0,0,1,0,0
211,Teddy Bridgewater ,MIA,QB,5,3,27,11,0,0,0,0,2
211,Connor Heyward ,PIT,TE,17,2,27,21,1,0,0,0,2
213,Kyle Juszczyk ,SF,FB,16,7,26,9,0,1,0,0,5
213,Tevin Coleman ,SF,RB,5,12,26,14,0,1,0,0,2
213,Myles Gaskin ,MIA,RB,4,10,26,10,0,0,0,0,2
213,DJ Turner ,LV,WR,9,4,26,18,0,0,0,0,1
213,Armani Rogers ,WSH,TE,11,2,26,24,1,0,0,0,1
213,Jaylen Waddle ,MIA,WR,17,3,26,9,0,0,0,0,0
213,Deven Thompkins ,TB,WR,5,2,26,17,0,0,0,0,1
220,Diontae Johnson ,PIT,WR,17,7,25,8,0,0,0,0,1
220,Jonathan Ward ,ARI/TEN,RB,8,5,25,12,0,0,0,0,2
220,Jalen Reagor ,MIN,WR,17,4,25,17,0,0,0,0,1
223,David Johnson ,NO,RB,5,12,24,5,0,0,1,1,0
223,Tony Jones Jr.,SEA/NO,RB,6,10,24,7,0,0,0,0,3
223,Justin Jefferson ,MIN,WR,17,4,24,10,0,1,0,0,2
