POS,Nombre,Team,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
279,Quez Watkins,PHI,WR,6,7,13,106,15.1,1,43,2,17.7,0,0,58,4
281,Jordan Wilkins,IND,RB,15,12,16,105,8.8,0,24,2,7,0,0,145,3
282,Maxx Williams,ARI,TE,9,8,10,102,12.8,1,42,2,11.3,0,0,66,4
283,Adrian Peterson,DET,RB,16,12,18,101,8.4,0,23,1,6.3,0,0,102,4
283,LeSean McCoy,TB,RB,10,15,19,101,6.7,0,15,0,10.1,0,0,102,3
283,C.J. Board,NYG,WR,14,11,16,101,9.2,0,16,0,7.2,0,0,29,6
286,Cameron Batson,TEN,WR,12,12,13,100,8.3,1,18,0,8.3,0,0,43,7
287,Vance McDonald,PIT,TE,14,15,20,99,6.6,0,15,0,7.1,0,0,79,4
287,Ty Johnson,DET/NYJ,RB,13,16,21,99,6.2,1,18,0,7.6,0,0,129,6
289,Taysom Hill,NO,QB,16,8,12,98,12.3,1,21,2,6.1,0,0,36,4
290,C.J. Ham,MIN,FB,15,8,13,97,12.1,1,30,1,6.5,0,0,76,6
291,Matt Breida,MIA,RB,12,9,10,96,10.7,0,31,2,8,0,0,101,5
292,Nick Vannett,DEN,TE,15,14,21,95,6.8,1,19,0,6.3,0,0,61,6
292,Zack Moss,BUF,RB,13,14,18,95,6.8,1,20,1,7.3,0,0,92,5
294,Justin Watson,TB,WR,11,7,11,94,13.4,0,36,1,8.5,0,0,21,5
295,Carlos Hyde,SEA,RB,10,16,20,93,5.8,0,18,0,9.3,1,0,109,4
296,Darrell Daniels,ARI,TE,12,8,11,92,11.5,1,31,2,7.7,0,0,58,4
296,Malcolm Perry,MIA,RB,9,9,13,92,10.2,1,25,1,10.2,0,0,33,4
298,Austin Mack,NYG,WR,11,7,11,91,13,0,50,1,8.3,0,0,40,5
299,Travis Homer,SEA,RB,9,9,10,90,10,1,50,1,10,0,0,92,4
300,Frank Gore,NYJ,RB,15,16,19,89,5.6,0,9,0,5.9,0,0,73,3
300,Jamal Agnew,DET,WR,14,13,20,89,6.8,0,20,1,6.4,0,0,102,4
302,C.J. Uzomah,CIN,TE,2,8,11,87,10.9,1,23,1,43.5,0,0,31,6
303,Ryan Griffin,NYJ,TE,15,9,12,86,9.6,0,23,1,5.7,0,0,50,4
303,Trent Taylor,SF,WR,12,10,21,86,8.6,0,29,2,7.2,0,0,47,5
305,J.J. Arcega-Whiteside,PHI,WR,8,4,8,85,21.3,0,37,2,10.6,0,0,9,4
306,Tyler Ervin,GB,RB,8,11,15,84,7.6,0,24,1,10.5,0,0,89,6
306,Devontae Booker,LV,RB,16,17,21,84,4.9,0,17,0,5.3,0,0,82,2
308,Geoff Swaim,TEN,TE,10,9,12,83,9.2,1,16,0,8.3,0,0,35,6
309,Royce Freeman,DEN,RB,16,12,13,81,6.8,0,28,1,5.1,0,0,66,4
310,Troy Fumagalli,DEN,TE,8,8,15,80,10,1,29,1,10,0,0,61,6
311,DeMichael Harris,IND,WR,7,10,10,79,7.9,0,21,1,11.3,0,0,62,3
312,Ray-Ray McCloud III,PIT,WR,16,20,22,77,3.8,0,13,0,4.8,0,0,124,3
313,Dante Pettis,SF/NYG,WR,7,4,6,76,19,1,33,2,10.9,0,0,6,3
314,Ito Smith,ATL,RB,14,17,26,75,4.4,0,17,0,5.4,1,0,87,3
315,Pharoh Cooper,CAR,WR,16,5,8,73,14.6,0,32,1,4.6,0,0,37,3
315,KJ Hill Jr.,LAC,WR,15,7,11,73,10.4,0,25,1,4.9,0,0,20,2
317,Parris Campbell,IND,WR,2,6,9,71,11.8,0,21,1,35.5,0,0,21,4
318,Jason Witten,LV,TE,16,13,17,69,5.3,2,15,0,4.3,0,0,19,8
318,Brandon Powell,ATL,WR,15,12,18,69,5.8,2,13,0,4.6,1,1,32,5
320,Patrick Laird,MIA,RB,16,10,12,68,6.8,0,17,0,4.3,0,0,44,3
321,Ryan Nall,CHI,FB,16,8,9,67,8.4,1,18,0,4.2,0,0,54,5
322,Samaje Perine,CIN,RB,16,11,12,66,6,0,15,0,4.1,0,0,92,4
322,Courtland Sutton,DEN,WR,1,3,6,66,22,0,45,2,66,0,0,6,2
322,Malik Taylor,GB,WR,15,5,6,66,13.2,1,26,2,4.4,0,0,47,4
325,Darwin Thompson,KC,RB,14,7,11,65,9.3,1,37,1,4.6,1,0,88,3
326,Luke Stocker,ATL,TE,16,7,11,63,9,0,25,1,3.9,0,0,55,4
326,Damion Ratley,NYG,WR,5,4,10,63,15.8,0,29,1,12.6,1,0,11,2
326,La'Mical Perine,NYJ,RB,10,11,15,63,5.7,0,14,0,6.3,0,0,67,3
326,Tyrie Cleveland,DEN,WR,10,6,9,63,10.5,0,17,0,6.3,0,0,20,4
326,Nick Keizer,KC,TE,16,6,9,63,10.5,0,22,1,3.9,1,1,42,2
331,Gunner Olszewski,NE,WR,13,5,5,62,12.4,1,38,1,4.8,0,0,35,3
332,Benny Snell Jr.,PIT,RB,16,10,14,61,6.1,0,14,0,3.8,0,0,93,3
332,Salvon Ahmed,MIA,RB,6,11,14,61,5.5,0,13,0,10.2,0,0,73,2
334,Steven Mitchell Jr.,HOU,WR,6,5,8,60,12,0,20,1,10,0,0,9,3
334,Ja'Marcus Bradley,CLE,WR,3,5,11,60,12,0,22,1,20,0,0,9,2
334,Saquon Barkley,NYG,RB,2,6,9,60,10,0,38,1,30,0,0,55,3
337,Keith Smith,ATL,FB,16,11,15,59,5.4,0,13,0,3.7,0,0,43,4
337,Rodney Smith,CAR,RB,7,9,11,59,6.6,0,12,0,8.4,0,0,46,1
339,Devonta Freeman,NYG,RB,5,7,10,58,8.3,0,18,0,11.6,0,0,68,3
339,Ameer Abdullah,MIN,RB,16,8,9,58,7.3,2,22,1,3.6,0,0,51,4
339,Jaydon Mickens,TB,WR,10,7,10,58,8.3,0,11,0,5.8,0,0,31,6
342,Jeremy McNichols,TEN,RB,16,12,17,55,4.6,0,9,0,3.4,0,0,51,0
343,Dare Ogunbowale,JAX,RB,14,10,20,54,5.4,0,12,0,3.9,0,0,62,4
343,Anthony McFarland Jr.,PIT,RB,11,6,10,54,9,0,17,0,4.9,0,0,49,1
345,Cethan Carter,CIN,TE,15,5,7,53,10.6,0,24,2,3.5,0,0,9,3
345,Johnny Mundt,LAR,TE,16,4,4,53,13.3,0,34,1,3.3,0,0,45,1
345,Ashton Dulin,IND,WR,13,3,6,53,17.7,0,34,1,4.1,1,0,31,2
348,Chris Manhertz,CAR,TE,16,6,8,52,8.7,0,17,0,3.3,0,0,35,1
348,Damien Harris,NE,RB,10,5,7,52,10.4,0,15,0,5.2,0,0,56,4
350,Mark Ingram II,BAL,RB,11,6,8,50,8.3,0,18,0,4.5,0,0,52,2
350,Virgil Green,LAC,TE,6,3,6,50,16.7,1,26,1,8.3,0,0,24,2
350,Trent Sherfield Sr.,ARI,WR,15,5,7,50,10,0,26,1,3.3,0,0,27,2
353,MyCole Pruitt,TEN,TE,11,5,8,49,9.8,2,22,1,4.5,0,0,17,4
353,Laquon Treadwell,ATL,WR,5,6,7,49,8.2,2,14,0,9.8,0,0,13,4
355,Javon Wims,CHI,WR,13,6,12,48,8,1,13,0,3.7,0,0,5,4
356,Dez Bryant,BAL,WR,6,6,11,47,7.8,2,16,0,7.8,0,0,36,3
357,Levine Toilolo,NYG,TE,16,5,6,46,9.2,0,14,0,2.9,0,0,26,3
357,Josh Hill,NO,TE,14,8,10,46,5.8,1,16,0,3.3,1,0,38,3
357,Jaylen Samuels,PIT,RB,14,9,14,46,5.1,0,12,0,3.3,0,0,61,2
357,Darrius Shepherd,GB,WR,8,5,8,46,9.2,0,19,0,5.8,0,0,16,1
357,Lil'Jordan Humphrey,NO,WR,3,3,5,46,15.3,1,17,0,15.3,0,0,10,3
362,Demetrius Harris,CHI,TE,15,7,14,45,6.4,0,9,0,3,0,0,26,2
362,Patrick Ricard,BAL,FB,15,9,12,45,5,1,11,0,3,0,0,45,3
364,Hunter Bryant,DET,TE,5,1,3,44,44,0,44,1,8.8,0,0,13,1
365,Theo Riddick,LV,RB,4,5,6,43,8.6,0,15,0,10.8,0,0,33,1
366,Troymaine Pope,LAC,RB,6,8,10,42,5.3,0,11,0,7,0,0,42,1
366,Devine Ozigbo,JAX,RB,8,9,9,42,4.7,0,12,0,5.3,0,0,42,3
368,Tanner Hudson,TB,TE,11,3,7,41,13.7,0,20,1,3.7,0,0,14,3
368,River Cracraft,SF,WR,9,6,9,41,6.8,0,12,0,4.6,0,0,12,2
368,Tarik Cohen,CHI,RB,3,6,9,41,6.8,0,20,1,13.7,0,0,61,1
371,Ted Ginn Jr.,CHI,WR,6,3,6,40,13.3,0,29,1,6.7,0,0,13,1
372,Khari Blasingame,TEN,FB,15,4,5,39,9.8,0,16,0,2.6,0,0,34,2
372,Juwan Johnson,NO,TE,7,4,10,39,9.8,0,19,0,5.6,0,0,20,3
372,Riley Ridley,CHI,WR,5,4,4,39,9.8,0,18,0,7.8,0,0,2,3
372,Devin Asiasi,NE,TE,9,2,7,39,19.5,1,26,1,4.3,0,0,6,2
