POS,Nombre,Team,POS,GP,REC,TGTS,YDS,TD,LNG,BIG,FUM,LST,YAC,FD
133,Kenyan Drake ,ARI/MIA,RB,14,50,68,345,0,26,2,0,0,433,15
134,Darren Fells ,HOU,TE,16,34,48,341,7,24,2,0,0,169,22
135,Willie Snead IV,BAL,WR,16,31,46,339,5,50,4,0,0,140,20
136,Tajae Sharpe ,TEN,WR,15,25,35,329,4,47,4,0,0,58,20
137,Josh Reynolds ,LAR,WR,16,21,43,326,1,31,8,0,0,145,15
138,Jalen Richard ,OAK,RB,16,36,43,323,0,33,5,1,0,249,15
139,Nick Boyle ,BAL,TE,16,31,43,321,2,35,4,0,0,160,13
140,Ryan Griffin ,NYJ,TE,13,34,41,320,5,45,4,0,0,182,19
140,Nyheim Hines ,IND,RB,16,44,58,320,0,21,2,1,1,313,15
142,Cameron Brate ,TB,TE,16,36,55,311,4,37,1,0,0,99,21
142,Irv Smith Jr.,MIN,TE,16,36,47,311,2,29,5,1,0,136,17
144,Steven Sims ,WSH,WR,16,34,56,310,4,65,2,0,0,167,18
145,Ronald Jones ,TB,RB,16,31,40,309,0,41,3,1,1,303,12
146,Jaylen Samuels ,PIT,RB,14,47,57,305,1,27,1,1,1,372,19
147,David Moore ,SEA,WR,14,17,34,301,2,60,5,1,1,134,14
148,Cody Latimer ,NYG,WR,15,24,42,300,2,43,4,0,0,80,19
149,DaeSean Hamilton ,DEN,WR,16,28,52,297,1,28,4,0,0,129,19
150,Jarius Wright ,CAR,WR,16,28,58,296,0,33,3,0,0,92,16
150,Melvin Gordon III,LAC,RB,12,42,55,296,1,25,2,1,1,331,11
152,Bisi Johnson ,MIN,WR,16,31,45,294,3,23,1,0,0,64,17
153,DeAndre Washington ,OAK,RB,16,36,41,292,0,28,4,0,0,255,10
154,Geronimo Allison ,GB,WR,16,34,55,287,2,31,3,2,1,118,16
154,Joe Mixon ,CIN,RB,16,35,45,287,3,33,4,0,0,335,14
156,Dare Ogunbowale ,TB,RB,16,35,46,286,0,21,1,1,1,212,14
157,Kareem Hunt ,CLE,RB,8,37,44,285,1,29,2,0,0,281,17
158,Rex Burkhead ,NE,RB,13,27,38,279,0,32,4,1,1,237,10
159,Nick Chubb ,CLE,RB,16,36,49,278,0,32,4,1,1,320,13
160,Marcus Johnson ,IND,WR,8,17,33,277,2,50,3,0,0,45,12
161,Vance McDonald ,PIT,TE,14,38,55,273,3,22,2,1,0,176,12
162,Seth Roberts ,BAL,WR,16,21,35,271,2,33,3,0,0,68,18
163,Kaden Smith ,NYG,TE,9,31,42,268,3,32,3,2,0,89,12
164,Chris Carson ,SEA,RB,15,37,47,266,2,21,2,1,1,315,10
165,Will Dissly ,SEA,TE,6,23,27,262,4,38,3,1,0,81,14
166,Marvin Hall ,DET,WR,9,7,11,261,1,58,6,0,0,40,7
